"slide","nonEmptyLines","chars","preview"
"1","2","18","MSC HOME | RENTAL &"
"2","18","750","H&â€™ME | REAL ESTATE â€” ~ | Modern, Simple & Classic. Â£LEE= ="
"3","1","17","Project Overview"
"4","15","1195","Project Overview | MSC Home is a property rental & real estate platform tailored for collaborating all real | er]  /"
"5","1","18","Problem Statement"
"6","16","1247","Problem Statement | Bangladesh's real estate market faces significant challenges, primarily due to a lack of trust ;"
"7","1","18","Possible Solution"
"8","16","1281","Possible Solution | MSC Home is a pioneering real estate platform in Bangladesh, designed to transform the property"
"9","1","24","Design Thinking Process"
"10","9","371","e e e | Design Thinking Process"
"11","1","21","Qualitative Research"
"12","23","1971","e e | Qualitative Research 2>"
"13","23","1727","Key Insights Derived From Interview | @ In Bangladesh, buyers and sellers often face problems like unclear prices, slow project completion, trouble verifying legal papers,"
"14","15","1146","@ People in Bangladesh like real estate platforms for easy property searches and loan help, but dislike hidden costs, high prices, | and delays caused by limited land and rising building expenses."
"15","1","22","Quantitative Research"
"16","11","627","Â° Â° | Quantitative Research"
"17","7","295","What feature would make you more likely to use a real estate platform? | (era takrosiÃ© onsane oes facrc aDss sided aad Paw was ah Somat Para?)"
"18","15","501","How much would you trust a real estate platform that How often do you think buyers should be able to | verifies both buyers and sellers? negotiate prices on a real estate platform?"
"19","20","506","Would you use a real estate platform that offers How often do you think buyers should be able to | affordable home loans? negotiate prices on a real estate platform?"
"20","7","303","Do you think advanced search tools are necessary on Would you rate buyers and sellers after a transaction | areal estate platform? if given the option?"
"21","14","1150","Key Insights Derived From Online Survey | Based on the survey of potential users actively searching for rental properties, key points include the De"
"22","1","15","Brain Storming"
"23","15","558","Brain Storming | + Your Groups + Places + Posts + People"
"24","1","13","User Persona"
"25","27","1540","Seller's User Persona | 2 Frustration:"
"26","23","1560","Buyer's User Persona | S, Frustration:"
"27","1","16","Empathy Mapping"
"28","19","763","â€˜SE thy M i | Seller's Empathy Mapping"
"29","17","877","â€˜s Empathy M i | Buyer's Empathy Mapping"
"30","1","17","User Journey Map"
"31","25","1509","r | Sellerâ€™s Journey Map"
"32","22","1206","o | 0)"
"33","19","1376","Buyer's Journey Map | + See MSC Home + Use simple + View photos, + Contact the + Submit the offer + Share your"
"34","15","682","n | foe"
"35","1","10","User Flow"
"36","7","173","Pine | . | | za â€œoo"
"37","3","18","} Ft | â€"
"38","1","25","information Architecture"
"39","38","689","| | | + Name + Email address! Phone"
"40","10","268","Your Groups son geups : | + Uke follow pages: Book an f"
"41","1","27","Modern, Simple & Classic.."
